Position,Track Name,Artist,Streams,URL
142,hot girl bummer,blackbear,736259,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
143,Favorito,Camilo,734905,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
144,Madrid,Maluma,730678,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
145,After Party,Don Toliver,726542,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
146,Blueberry Eyes (feat. SUGA of BTS),MAX,725435,https://open.spotify.com/track/6sI8Q7TTJeA9exw6hxEqq3
147,Got It On Me,Pop Smoke,724957,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
148,Quiéreme Mientras Se Pueda,Manuel Turizo,723580,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
149,Bohemian Rhapsody - 2011 Mix,Queen,723310,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
150,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,719899,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
151,Say So,Doja Cat,719686,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
152,Relación,Sech,716451,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
153,Shape of You,Ed Sheeran,716254,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
154,BICHOTA,KAROL G,713638,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
155,I Don't Care (with Justin Bieber),Ed Sheeran,703305,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
156,FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,699431,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
157,Are You Bored Yet? (feat. Clairo),Wallows,692795,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
158,THE SCOTTS,THE SCOTTS,690754,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
159,In Your Eyes,The Weeknd,688273,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
160,rockstar (feat. 21 Savage),Post Malone,688086,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
161,when the party's over,Billie Eilish,686526,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
162,Wolves (feat. Post Malone),Big Sean,686297,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
163,Sunday Best,Surfaces,685200,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
164,Enchule,Rauw Alejandro,683743,https://open.spotify.com/track/3ThrfRAmijYU098H9q9tAs
165,Godzilla (feat. Juice WRLD),Eminem,682886,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
166,"thank u, next",Ariana Grande,674896,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
167,Mamichula - con Nicki Nicole,Trueno,674422,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
168,Get You The Moon (feat. Snøw),Kina,673028,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
169,Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,672614,https://open.spotify.com/track/5i7ThJfYLAzp2DyZuFpF6j
